SR no,feedback_id,feedback_text,overall_sentiment,entity,entity_type,entity_sentiment
39,633,"I met Dr. Steven Holt, one nurse was helpful while another seemed annoyed, I left feeling confused and frustrated",negative,Dr. Steven Holt,doctor,negative
40,633,"I met Dr. Steven Holt, one nurse was helpful while another seemed annoyed, I left feeling confused and frustrated",negative,nurse (individual),nurse,positive
41,39,"I met Dr. Marcus Lee, at Greenfield Medical Center, the appointment process was smooth, overall the experience felt well managed and clear could just be bad luck",neutral,Dr. Marcus Lee,doctor,neutral
42,39,"I met Dr. Marcus Lee, at Greenfield Medical Center, the appointment process was smooth, overall the experience felt well managed and clear could just be bad luck",neutral,Greenfield Medical Center,facility,neutral
43,39,"I met Dr. Marcus Lee, at Greenfield Medical Center, the appointment process was smooth, overall the experience felt well managed and clear could just be bad luck",neutral,appointment,appointment,positive
44,932,"at Riverside Health Clinic, the appointment process was smooth, nurses changed shifts without notice, parking took longer than expected, the experience was acceptable but unremarkable hard to judge overall",neutral,Riverside Health Clinic,facility,neutral
45,932,"at Riverside Health Clinic, the appointment process was smooth, nurses changed shifts without notice, parking took longer than expected, the experience was acceptable but unremarkable hard to judge overall",neutral,nursing staff,nurse,neutral
46,932,"at Riverside Health Clinic, the appointment process was smooth, nurses changed shifts without notice, parking took longer than expected, the experience was acceptable but unremarkable hard to judge overall",neutral,appointment,appointment,positive
47,932,"at Riverside Health Clinic, the appointment process was smooth, nurses changed shifts without notice, parking took longer than expected, the experience was acceptable but unremarkable hard to judge overall",neutral,parking,parking,negative
48,431,"at Oakwood Surgical Institute, for cardiac ablation sugery, the appointment started late, parking signs were unclear, I left feeling confused and frustrated",negative,Oakwood Surgical Institute,facility,negative
49,431,"at Oakwood Surgical Institute, for cardiac ablation sugery, the appointment started late, parking signs were unclear, I left feeling confused and frustrated",negative,cardiac ablation,surgery,negative
50,431,"at Oakwood Surgical Institute, for cardiac ablation sugery, the appointment started late, parking signs were unclear, I left feeling confused and frustrated",negative,appointment,appointment,negative
51,431,"at Oakwood Surgical Institute, for cardiac ablation sugery, the appointment started late, parking signs were unclear, I left feeling confused and frustrated",negative,parking,parking,negative
52,373,"at Westbridge Medical Campus, one nurse was helpful while another seemed annoyed, several things went wrong without explanation maybe I expected more",neutral,Westbridge Medical Campus,facility,neutral
53,373,"at Westbridge Medical Campus, one nurse was helpful while another seemed annoyed, several things went wrong without explanation maybe I expected more",neutral,nurse (individual),nurse,positive
54,813,"I met Dr. Riya Patel, the appointment started late, nursing staff followed standard checks, the experience was acceptable but unremarkable could just be bad luck",neutral,Dr. Riya Patel,doctor,neutral
55,813,"I met Dr. Riya Patel, the appointment started late, nursing staff followed standard checks, the experience was acceptable but unremarkable could just be bad luck",neutral,nursing staff,nurse,neutral
56,813,"I met Dr. Riya Patel, the appointment started late, nursing staff followed standard checks, the experience was acceptable but unremarkable could just be bad luck",neutral,appointment,appointment,negative
57,428,"I met Dr. Marcus Lee, at Greenfield Medical Center, I left feeling confused and frustrated",negative,Dr. Marcus Lee,doctor,negative
58,428,"I met Dr. Marcus Lee, at Greenfield Medical Center, I left feeling confused and frustrated",negative,Greenfield Medical Center,facility,negative
59,122,"I met Dr. Hannah Brooks, at Oakwood Surgical Institute, for minor outpatient biopsy, the care made me feel comfortable despite small issues",positive,Dr. Hannah Brooks,doctor,positive
60,122,"I met Dr. Hannah Brooks, at Oakwood Surgical Institute, for minor outpatient biopsy, the care made me feel comfortable despite small issues",positive,Oakwood Surgical Institute,facility,positive
61,122,"I met Dr. Hannah Brooks, at Oakwood Surgical Institute, for minor outpatient biopsy, the care made me feel comfortable despite small issues",positive,minor outpatient biopsy,surgery,positive
62,292,"the appointment process was smooth, one nurse was helpful while another seemed annoyed, the care made me feel comfortable despite small issues",positive,nurse (individual),nurse,positive
63,292,"the appointment process was smooth, one nurse was helpful while another seemed annoyed, the care made me feel comfortable despite small issues",positive,appointment,appointment,positive
64,933,"for cardiac ablation sugery, the appointment started late, I had to park far from the entrance, nothing stood out as especially good or bad maybe I expected more",neutral,cardiac ablation,surgery,neutral
65,933,"for cardiac ablation sugery, the appointment started late, I had to park far from the entrance, nothing stood out as especially good or bad maybe I expected more",neutral,appointment,appointment,negative
66,933,"for cardiac ablation sugery, the appointment started late, I had to park far from the entrance, nothing stood out as especially good or bad maybe I expected more",neutral,parking,parking,negative
67,356,"I met Dr. Steven Holt, at Greenfield Medical Center, for minor outpatient biopsy, check in for the appointment was confusing, several things went wrong without explanation maybe I expected more",neutral,Dr. Steven Holt,doctor,neutral
68,356,"I met Dr. Steven Holt, at Greenfield Medical Center, for minor outpatient biopsy, check in for the appointment was confusing, several things went wrong without explanation maybe I expected more",neutral,Greenfield Medical Center,facility,neutral
69,356,"I met Dr. Steven Holt, at Greenfield Medical Center, for minor outpatient biopsy, check in for the appointment was confusing, several things went wrong without explanation maybe I expected more",neutral,minor outpatient biopsy,surgery,neutral
70,356,"I met Dr. Steven Holt, at Greenfield Medical Center, for minor outpatient biopsy, check in for the appointment was confusing, several things went wrong without explanation maybe I expected more",neutral,appointment,appointment,negative
71,764,"I met Dr. Marcus Lee, at Riverside Health Clinic, for arthroscopic knee repair, the appointment started late, nurses changed shifts without notice, parking signs were unclear, nothing stood out as especially good or bad could just be bad luck",neutral,Dr. Marcus Lee,doctor,neutral
72,764,"I met Dr. Marcus Lee, at Riverside Health Clinic, for arthroscopic knee repair, the appointment started late, nurses changed shifts without notice, parking signs were unclear, nothing stood out as especially good or bad could just be bad luck",neutral,Riverside Health Clinic,facility,neutral
73,764,"I met Dr. Marcus Lee, at Riverside Health Clinic, for arthroscopic knee repair, the appointment started late, nurses changed shifts without notice, parking signs were unclear, nothing stood out as especially good or bad could just be bad luck",neutral,arthroscopic knee repair,surgery,neutral
74,764,"I met Dr. Marcus Lee, at Riverside Health Clinic, for arthroscopic knee repair, the appointment started late, nurses changed shifts without notice, parking signs were unclear, nothing stood out as especially good or bad could just be bad luck",neutral,nursing staff,nurse,neutral
75,764,"I met Dr. Marcus Lee, at Riverside Health Clinic, for arthroscopic knee repair, the appointment started late, nurses changed shifts without notice, parking signs were unclear, nothing stood out as especially good or bad could just be bad luck",neutral,appointment,appointment,negative
76,764,"I met Dr. Marcus Lee, at Riverside Health Clinic, for arthroscopic knee repair, the appointment started late, nurses changed shifts without notice, parking signs were unclear, nothing stood out as especially good or bad could just be bad luck",neutral,parking,parking,negative
77,760,"I met Dr. Steven Holt, at Greenfield Medical Center, nursing staff followed standard checks, the experience was acceptable but unremarkable",neutral,Dr. Steven Holt,doctor,neutral
78,760,"I met Dr. Steven Holt, at Greenfield Medical Center, nursing staff followed standard checks, the experience was acceptable but unremarkable",neutral,Greenfield Medical Center,facility,neutral
79,760,"I met Dr. Steven Holt, at Greenfield Medical Center, nursing staff followed standard checks, the experience was acceptable but unremarkable",neutral,nursing staff,nurse,neutral
80,274,"I met Dr. Riya Patel, for cardiac ablation surgery, the care made me feel comfortable despite small issues",positive,Dr. Riya Patel,doctor,positive
81,274,"I met Dr. Riya Patel, for cardiac ablation surgery, the care made me feel comfortable despite small issues",positive,cardiac ablation,surgery,positive
82,274,"I met Dr. Riya Patel, for cardiac ablation surgery, the care made me feel comfortable despite small issues",positive,cardiac ablation surgery,surgery,positive
83,750,"I met Dr. Steven Holt, at Westbridge Medical Campus, for spinal fusion procedure, the appointment process was smooth, the experience was acceptable but unremarkable could just be bad luck",neutral,Dr. Steven Holt,doctor,neutral
84,750,"I met Dr. Steven Holt, at Westbridge Medical Campus, for spinal fusion procedure, the appointment process was smooth, the experience was acceptable but unremarkable could just be bad luck",neutral,Westbridge Medical Campus,facility,neutral
85,750,"I met Dr. Steven Holt, at Westbridge Medical Campus, for spinal fusion procedure, the appointment process was smooth, the experience was acceptable but unremarkable could just be bad luck",neutral,spinal fusion,surgery,neutral
86,750,"I met Dr. Steven Holt, at Westbridge Medical Campus, for spinal fusion procedure, the appointment process was smooth, the experience was acceptable but unremarkable could just be bad luck",neutral,spinal fusion procedure,surgery,neutral
87,750,"I met Dr. Steven Holt, at Westbridge Medical Campus, for spinal fusion procedure, the appointment process was smooth, the experience was acceptable but unremarkable could just be bad luck",neutral,appointment,appointment,positive
88,840,"at Oakwood Surgical Institute, for minor outpatient biopsy, nothing stood out as especially good or bad",neutral,Oakwood Surgical Institute,facility,neutral
89,840,"at Oakwood Surgical Institute, for minor outpatient biopsy, nothing stood out as especially good or bad",neutral,minor outpatient biopsy,surgery,neutral
90,924,"I met Dr. Alan Moore, at Greenfield Medical Center, the appointment process was smooth, I had to park far from the entrance, nothing stood out as especially good or bad maybe I expected more",neutral,Dr. Alan Moore,doctor,neutral
91,924,"I met Dr. Alan Moore, at Greenfield Medical Center, the appointment process was smooth, I had to park far from the entrance, nothing stood out as especially good or bad maybe I expected more",neutral,Greenfield Medical Center,facility,neutral
92,924,"I met Dr. Alan Moore, at Greenfield Medical Center, the appointment process was smooth, I had to park far from the entrance, nothing stood out as especially good or bad maybe I expected more",neutral,appointment,appointment,positive
93,924,"I met Dr. Alan Moore, at Greenfield Medical Center, the appointment process was smooth, I had to park far from the entrance, nothing stood out as especially good or bad maybe I expected more",neutral,parking,parking,negative
94,51,"at Riverside Health Clinic, the appointment started late, the care made me feel comfortable despite small issues",negative,Riverside Health Clinic,facility,negative
95,51,"at Riverside Health Clinic, the appointment started late, the care made me feel comfortable despite small issues",negative,appointment,appointment,negative
96,131,"at Westbridge Medical Campus, my appointment was rescheduled twice, one nurse was helpful while another seemed annoyed, the care made me feel comfortable despite small issues",negative,Westbridge Medical Campus,facility,negative
97,131,"at Westbridge Medical Campus, my appointment was rescheduled twice, one nurse was helpful while another seemed annoyed, the care made me feel comfortable despite small issues",negative,nurse (individual),nurse,positive
98,131,"at Westbridge Medical Campus, my appointment was rescheduled twice, one nurse was helpful while another seemed annoyed, the care made me feel comfortable despite small issues",negative,appointment,appointment,negative
99,121,"at Westbridge Medical Campus, for arthroscopic knee repair, overall the experience felt well managed and clear which contradicts what I was told earlier",neutral,Westbridge Medical Campus,facility,neutral
100,121,"at Westbridge Medical Campus, for arthroscopic knee repair, overall the experience felt well managed and clear which contradicts what I was told earlier",neutral,arthroscopic knee repair,surgery,neutral
101,937,"I met Dr. Steven Holt, at Oakwood Surgical Institute, the appointment started late, nursing staff followed standard checks, parking signs were unclear, the experience was acceptable but unremarkable",neutral,Dr. Steven Holt,doctor,neutral
102,937,"I met Dr. Steven Holt, at Oakwood Surgical Institute, the appointment started late, nursing staff followed standard checks, parking signs were unclear, the experience was acceptable but unremarkable",neutral,Oakwood Surgical Institute,facility,neutral
103,937,"I met Dr. Steven Holt, at Oakwood Surgical Institute, the appointment started late, nursing staff followed standard checks, parking signs were unclear, the experience was acceptable but unremarkable",neutral,nursing staff,nurse,neutral
104,937,"I met Dr. Steven Holt, at Oakwood Surgical Institute, the appointment started late, nursing staff followed standard checks, parking signs were unclear, the experience was acceptable but unremarkable",neutral,appointment,appointment,negative
105,937,"I met Dr. Steven Holt, at Oakwood Surgical Institute, the appointment started late, nursing staff followed standard checks, parking signs were unclear, the experience was acceptable but unremarkable",neutral,parking,parking,negative
106,778,"parking signs were unclear, nothing stood out as especially good or bad hard to judge overall",neutral,parking,parking,negative
107,432,"I met Dr. Hannah Brooks, at Riverside Health Clinic, for minor outpatient biopsy, the experience felt disorganized and poorly explained hard to judge overall",neutral,Dr. Hannah Brooks,doctor,negative
108,432,"I met Dr. Hannah Brooks, at Riverside Health Clinic, for minor outpatient biopsy, the experience felt disorganized and poorly explained hard to judge overall",neutral,Riverside Health Clinic,facility,neutral
109,432,"I met Dr. Hannah Brooks, at Riverside Health Clinic, for minor outpatient biopsy, the experience felt disorganized and poorly explained hard to judge overall",neutral,minor outpatient biopsy,surgery,neutral
110,602,"I met Dr. Marcus Lee, at Oakwood Surgical Institute, the appointment process was smooth, nursing staff followed standard checks, several things went wrong without explanation",negative,Dr. Marcus Lee,doctor,negative
111,602,"I met Dr. Marcus Lee, at Oakwood Surgical Institute, the appointment process was smooth, nursing staff followed standard checks, several things went wrong without explanation",negative,Oakwood Surgical Institute,facility,negative
112,602,"I met Dr. Marcus Lee, at Oakwood Surgical Institute, the appointment process was smooth, nursing staff followed standard checks, several things went wrong without explanation",negative,nursing staff,nurse,negative
113,602,"I met Dr. Marcus Lee, at Oakwood Surgical Institute, the appointment process was smooth, nursing staff followed standard checks, several things went wrong without explanation",negative,appointment,appointment,positive
114,297,", overall the experience felt well managed and clear",positive,no_entity,none,none
115,774,"parking took longer than expected, nothing stood out as especially good or bad felt inconsistent honestly",neutral,parking,parking,negative
116,811,"I met Dr. Alan Moore, at Greenfield Medical Center, nurses changed shifts without notice, the experience was acceptable but unremarkable which contradicts what I was told earlier",neutral,Dr. Alan Moore,doctor,neutral
117,811,"I met Dr. Alan Moore, at Greenfield Medical Center, nurses changed shifts without notice, the experience was acceptable but unremarkable which contradicts what I was told earlier",neutral,Greenfield Medical Center,facility,neutral
118,811,"I met Dr. Alan Moore, at Greenfield Medical Center, nurses changed shifts without notice, the experience was acceptable but unremarkable which contradicts what I was told earlier",neutral,nursing staff,nurse,neutral
119,161,"I met Dr. Riya Patel, the appointment process was smooth, nursing staff followed standard checks, parking signs were unclear, the care made me feel comfortable despite small issues",positive,Dr. Riya Patel,doctor,positive
120,161,"I met Dr. Riya Patel, the appointment process was smooth, nursing staff followed standard checks, parking signs were unclear, the care made me feel comfortable despite small issues",positive,nursing staff,nurse,positive
121,161,"I met Dr. Riya Patel, the appointment process was smooth, nursing staff followed standard checks, parking signs were unclear, the care made me feel comfortable despite small issues",positive,appointment,appointment,positive
122,161,"I met Dr. Riya Patel, the appointment process was smooth, nursing staff followed standard checks, parking signs were unclear, the care made me feel comfortable despite small issues",positive,parking,parking,negative
123,537,"I met Dr. Nina Alvarez, several things went wrong without explanation",negative,Dr. Nina Alvarez,doctor,negative
124,156,"I met Dr. Riya Patel, for spinal fusion procedure, the appointment process was smooth, one nurse was helpful while another seemed annoyed, parking took longer than expected, the care made me feel comfortable despite small issues not sure why this happened",neutral,Dr. Riya Patel,doctor,neutral
125,156,"I met Dr. Riya Patel, for spinal fusion procedure, the appointment process was smooth, one nurse was helpful while another seemed annoyed, parking took longer than expected, the care made me feel comfortable despite small issues not sure why this happened",neutral,spinal fusion,surgery,neutral
126,156,"I met Dr. Riya Patel, for spinal fusion procedure, the appointment process was smooth, one nurse was helpful while another seemed annoyed, parking took longer than expected, the care made me feel comfortable despite small issues not sure why this happened",neutral,spinal fusion procedure,surgery,neutral
127,156,"I met Dr. Riya Patel, for spinal fusion procedure, the appointment process was smooth, one nurse was helpful while another seemed annoyed, parking took longer than expected, the care made me feel comfortable despite small issues not sure why this happened",neutral,nurse (individual),nurse,positive
128,156,"I met Dr. Riya Patel, for spinal fusion procedure, the appointment process was smooth, one nurse was helpful while another seemed annoyed, parking took longer than expected, the care made me feel comfortable despite small issues not sure why this happened",neutral,appointment,appointment,positive
129,156,"I met Dr. Riya Patel, for spinal fusion procedure, the appointment process was smooth, one nurse was helpful while another seemed annoyed, parking took longer than expected, the care made me feel comfortable despite small issues not sure why this happened",neutral,parking,parking,negative
130,357,"I met Dr. Alan Moore, for minor outpatient biopsy, the nurse explained the medication schedule, I had to park far from the entrance, I left feeling confused and frustrated",negative,Dr. Alan Moore,doctor,negative
131,357,"I met Dr. Alan Moore, for minor outpatient biopsy, the nurse explained the medication schedule, I had to park far from the entrance, I left feeling confused and frustrated",negative,minor outpatient biopsy,surgery,negative
132,357,"I met Dr. Alan Moore, for minor outpatient biopsy, the nurse explained the medication schedule, I had to park far from the entrance, I left feeling confused and frustrated",negative,nursing staff,nurse,negative
133,357,"I met Dr. Alan Moore, for minor outpatient biopsy, the nurse explained the medication schedule, I had to park far from the entrance, I left feeling confused and frustrated",negative,parking,parking,negative
134,622,"at Northlake Surgery Hospital, my appointment was rescheduled twice, several things went wrong without explanation could just be bad luck",neutral,Northlake Surgery Hospital,facility,neutral
135,622,"at Northlake Surgery Hospital, my appointment was rescheduled twice, several things went wrong without explanation could just be bad luck",neutral,appointment,appointment,negative
136,302,"I met Dr. Hannah Brooks, for hernia correction surgery, I had to park far from the entrance, the care made me feel comfortable despite small issues which contradicts what I was told earlier",negative,Dr. Hannah Brooks,doctor,negative
137,302,"I met Dr. Hannah Brooks, for hernia correction surgery, I had to park far from the entrance, the care made me feel comfortable despite small issues which contradicts what I was told earlier",negative,hernia correction,surgery,negative
138,302,"I met Dr. Hannah Brooks, for hernia correction surgery, I had to park far from the entrance, the care made me feel comfortable despite small issues which contradicts what I was told earlier",negative,hernia correction surgery,surgery,negative
139,302,"I met Dr. Hannah Brooks, for hernia correction surgery, I had to park far from the entrance, the care made me feel comfortable despite small issues which contradicts what I was told earlier",negative,parking,parking,negative
140,610,"I met Dr. Alan Moore, at Westbridge Medical Campus, for hernia correction sugery, the appointment process was smooth, parking was easy to find, I left feeling confused and frustrated",negative,Dr. Alan Moore,doctor,negative
141,610,"I met Dr. Alan Moore, at Westbridge Medical Campus, for hernia correction sugery, the appointment process was smooth, parking was easy to find, I left feeling confused and frustrated",negative,Westbridge Medical Campus,facility,negative
142,610,"I met Dr. Alan Moore, at Westbridge Medical Campus, for hernia correction sugery, the appointment process was smooth, parking was easy to find, I left feeling confused and frustrated",negative,hernia correction,surgery,negative
143,610,"I met Dr. Alan Moore, at Westbridge Medical Campus, for hernia correction sugery, the appointment process was smooth, parking was easy to find, I left feeling confused and frustrated",negative,appointment,appointment,positive
144,610,"I met Dr. Alan Moore, at Westbridge Medical Campus, for hernia correction sugery, the appointment process was smooth, parking was easy to find, I left feeling confused and frustrated",negative,parking,parking,positive
145,930,"nursing staff followed standard checks, I had to park far from the entrance, nothing stood out as especially good or bad",neutral,nursing staff,nurse,neutral
146,930,"nursing staff followed standard checks, I had to park far from the entrance, nothing stood out as especially good or bad",neutral,parking,parking,negative
147,620,"I met Dr. Nina Alvarez, for cardiac ablation surgery, check in for the appointment was confusing, the experience felt disorganized and poorly explained",negative,Dr. Nina Alvarez,doctor,negative
148,620,"I met Dr. Nina Alvarez, for cardiac ablation surgery, check in for the appointment was confusing, the experience felt disorganized and poorly explained",negative,cardiac ablation,surgery,negative
149,620,"I met Dr. Nina Alvarez, for cardiac ablation surgery, check in for the appointment was confusing, the experience felt disorganized and poorly explained",negative,cardiac ablation surgery,surgery,negative
150,620,"I met Dr. Nina Alvarez, for cardiac ablation surgery, check in for the appointment was confusing, the experience felt disorganized and poorly explained",negative,appointment,appointment,negative
151,961,"for laparoscopic gallbladder removal, check in for the appointment was confusing, nothing stood out as especially good or bad",neutral,laparoscopic gallbladder removal,surgery,neutral
152,961,"for laparoscopic gallbladder removal, check in for the appointment was confusing, nothing stood out as especially good or bad",neutral,appointment,appointment,negative
153,679,"I met Dr. Hannah Brooks, at Greenfield Medical Center, the appointment process was smooth, it met basic expectations without much impression could just be bad luck",neutral,Dr. Hannah Brooks,doctor,neutral
154,679,"I met Dr. Hannah Brooks, at Greenfield Medical Center, the appointment process was smooth, it met basic expectations without much impression could just be bad luck",neutral,Greenfield Medical Center,facility,neutral
155,679,"I met Dr. Hannah Brooks, at Greenfield Medical Center, the appointment process was smooth, it met basic expectations without much impression could just be bad luck",neutral,appointment,appointment,positive
156,608,"I met Dr. Riya Patel, check in for the appointment was confusing, parking was easy to find, several things went wrong without explanation maybe I expected more",neutral,Dr. Riya Patel,doctor,neutral
157,608,"I met Dr. Riya Patel, check in for the appointment was confusing, parking was easy to find, several things went wrong without explanation maybe I expected more",neutral,appointment,appointment,negative
158,608,"I met Dr. Riya Patel, check in for the appointment was confusing, parking was easy to find, several things went wrong without explanation maybe I expected more",neutral,parking,parking,positive
159,478,"I met Dr. Nina Alvarez, at Oakwood Surgical Institute, for cardiac ablation sugery, I left feeling confused and frustrated maybe I expected more",neutral,Dr. Nina Alvarez,doctor,negative
160,478,"I met Dr. Nina Alvarez, at Oakwood Surgical Institute, for cardiac ablation sugery, I left feeling confused and frustrated maybe I expected more",neutral,Oakwood Surgical Institute,facility,neutral
161,478,"I met Dr. Nina Alvarez, at Oakwood Surgical Institute, for cardiac ablation sugery, I left feeling confused and frustrated maybe I expected more",neutral,cardiac ablation,surgery,neutral
162,996,"I met Dr. Riya Patel, at Greenfield Medical Center, nursing staff followed standard checks, parking signs were unclear, it met basic expectations without much impression",neutral,Dr. Riya Patel,doctor,neutral
163,996,"I met Dr. Riya Patel, at Greenfield Medical Center, nursing staff followed standard checks, parking signs were unclear, it met basic expectations without much impression",neutral,Greenfield Medical Center,facility,neutral
